station_id,name,lat,lon,state,elevation,total_days,observed_days,pct_observed,first_date,last_date
5075,NAVY ALPHA,-21.822,114.171,WA,,9647,0,0.0,2000-01-01,2026-05-30
5094,BARROW ISLAND AIRPORT,-20.874,115.407,WA,,9647,9458,98.0,2000-01-01,2026-05-30
6000,BIDGEMIA,-25.042,115.309,WA,,9647,6235,64.6,2000-01-01,2026-05-30
6001,BILLABALONG,-27.423,115.835,WA,,9647,6368,66.0,2000-01-01,2026-05-30
6002,BINTHALYA,-24.685,114.836,WA,,9647,0,0.0,2000-01-01,2026-05-30
6003,BOOLATHANA,-24.652,113.694,WA,,9647,6155,63.8,2000-01-01,2026-05-30
6004,BOOLOGOORO,-24.333,114.024,WA,,9647,0,0.0,2000-01-01,2026-05-30
6005,BRICKHOUSE,-24.821,113.785,WA,,9647,8496,88.1,2000-01-01,2026-05-30
6006,BULLARDOO,-27.855,115.673,WA,,9647,0,0.0,2000-01-01,2026-05-30
6008,CALLAGIDDY STATION,-25.048,114.029,WA,,9647,9369,97.1,2000-01-01,2026-05-30
6009,CARDABIA,-23.104,113.804,WA,,9647,3040,31.5,2000-01-01,2026-05-30
6010,CAREY DOWNS,-25.611,115.463,WA,,9647,9172,95.1,2000-01-01,2026-05-30
6011,CARNARVON AIRPORT,-24.888,113.67,WA,,9647,9421,97.7,2000-01-01,2026-05-30
6012,CARRARANG,-26.463,113.505,WA,,9647,91,0.9,2000-01-01,2026-05-30
6015,COORALYA,-24.445,114.078,WA,,9647,3982,41.3,2000-01-01,2026-05-30
6017,DAIRY CREEK,-25.279,115.863,WA,,9647,5306,55.0,2000-01-01,2026-05-30
6018,DIRK HARTOG ISLAND,-26.033,113.217,WA,,9647,0,0.0,2000-01-01,2026-05-30
6019,DOORAWARRAH,-24.806,114.431,WA,,9647,8077,83.7,2000-01-01,2026-05-30
6020,EDAGGEE,-25.36,114.229,WA,,9647,9570,99.2,2000-01-01,2026-05-30
